Breed,Sex,DOB,Intake_Date,Outcome_Date,Intake_Type,Animal_Type,Outcome_Type,Intake_Condition,Time_in_Shelter_Days,Primary_Color,Secondary_Color,Outcome_Age,Shelter_Name,Intake_Age
GOAT/PYGMY,Female,1900-01-01,2022-02-24,2022-02-26,STRAY,OTHER,return to owner,UNKNOWN,2,tan,white,NaT,Sonoma County Animal Shelter,44614
DOMESTIC SH,Male,2022-04-06,2022-05-08,2022-05-12,STRAY,CAT,transfer,UNKNOWN,4,white,none,36,Sonoma County Animal Shelter,32
DOMESTIC SH,Spayed,2007-11-20,2019-11-18,2020-01-30,CONFISCATE,CAT,adoption,HEALTHY,73,gray,none,4454,Sonoma County Animal Shelter,4381
PIT BULL,Female,2014-02-20,2018-02-17,2018-02-20,STRAY,DOG,return to owner,UNKNOWN,3,fawn,none,1461,Sonoma County Animal Shelter,1458
PIT BULL/MIX,Neutered,2015-01-22,2015-03-31,2015-04-01,STRAY,DOG,return to owner,HEALTHY,1,white,fawn,69,Sonoma County Animal Shelter,68
DOMESTIC SH,Neutered,2017-09-03,2022-09-16,2022-10-07,OWNER SURRENDER,CAT,adoption,HEALTHY,21,gray,white,1860,Sonoma County Animal Shelter,1839
LABRADOR RETR,Male,2015-06-27,2018-06-22,2018-06-22,STRAY,DOG,return to owner,HEALTHY,0,black,none,1091,Sonoma County Animal Shelter,1091
DOMESTIC SH,Neutered,2014-09-07,2016-08-30,2016-09-08,STRAY,CAT,return to owner,HEALTHY,9,white,brn tabby,732,Sonoma County Animal Shelter,723
GUINEA PIG,Male,2015-12-26,2016-05-26,2016-06-08,STRAY,OTHER,transfer,HEALTHY,13,calico,none,165,Sonoma County Animal Shelter,152
RABBIT LH,Spayed,2018-07-05,2019-05-31,2019-08-17,STRAY,OTHER,adoption,HEALTHY,78,white,gray,408,Sonoma County Animal Shelter,330
BOXER/ENG FOXHOUND,Neutered,2014-01-12,2020-10-18,2020-10-28,QUARANTINE,DOG,transfer,HEALTHY,10,fawn,none,2481,Sonoma County Animal Shelter,2471
PIT BULL,Female,2015-05-24,2015-09-28,2015-09-29,STRAY,DOG,return to owner,HEALTHY,1,brown,white,128,Sonoma County Animal Shelter,127
GERM SH POINT/MIX,Male,2003-07-01,2015-01-20,2015-01-27,STRAY,DOG,return to owner,HEALTHY,7,liver,white,4228,Sonoma County Animal Shelter,4221
PIT BULL,Neutered,2008-12-20,2017-06-18,2017-06-20,STRAY,DOG,return to owner,HEALTHY,2,black,none,3104,Sonoma County Animal Shelter,3102
HORSE,Female,1900-01-01,2021-09-15,2021-09-16,STRAY,OTHER,return to owner,UNKNOWN,1,black,none,NaT,Sonoma County Animal Shelter,44452
PARSON RUSS TER/MIX,Female,2016-12-22,2018-12-22,2019-02-04,OWNER SURRENDER,DOG,transfer,TREATABLE/REHAB,44,white,brown,774,Sonoma County Animal Shelter,730
CHIHUAHUA SH,Female,2009-08-25,2021-08-25,2021-10-06,STRAY,DOG,transfer,TREATABLE/MANAGEABLE,42,brown,gray,4425,Sonoma County Animal Shelter,4383
COCKER SPAN/MIX,Neutered,2014-02-06,2014-08-06,2014-08-15,STRAY,DOG,adoption,HEALTHY,9,white,none,190,Sonoma County Animal Shelter,181
PIT BULL,Neutered,2014-06-02,2018-07-31,2018-08-09,QUARANTINE,DOG,return to owner,UNKNOWN,9,black,white,1529,Sonoma County Animal Shelter,1520
BULL TERRIER,Neutered,1900-01-01,2019-12-15,2019-12-15,STRAY,DOG,return to owner,HEALTHY,0,white,br brindle,NaT,Sonoma County Animal Shelter,43812
CHIHUAHUA SH,Spayed,2015-04-11,2015-08-04,2015-08-19,STRAY,DOG,adoption,HEALTHY,15,brown,none,130,Sonoma County Animal Shelter,115
DOMESTIC SH,Spayed,2018-03-30,2018-05-29,2018-06-16,STRAY,CAT,adoption,HEALTHY,18,black,none,78,Sonoma County Animal Shelter,60
DOMESTIC MH,Female,2016-05-02,2016-07-02,2016-07-11,STRAY,CAT,euthanize,TREATABLE/REHAB,9,gray tabby,none,70,Sonoma County Animal Shelter,61
PARSON RUSS TER,Neutered,2008-11-09,2018-11-08,2018-11-09,STRAY,DOG,return to owner,HEALTHY,1,white,black,3652,Sonoma County Animal Shelter,3651
BOXER,Female,1900-01-01,2019-12-22,2019-12-22,STRAY,DOG,return to owner,UNKNOWN,0,white,none,NaT,Sonoma County Animal Shelter,43819
CHIHUAHUA SH,Neutered,2008-02-11,2021-02-11,2021-02-11,STRAY,DOG,euthanize,UNKNOWN,0,white,none,4749,Sonoma County Animal Shelter,4749
PIT BULL,Female,1900-01-01,2017-08-14,2017-08-15,STRAY,DOG,return to owner,UNKNOWN,1,brown,none,NaT,Sonoma County Animal Shelter,42959
DOMESTIC SH,Neutered,2015-12-17,2017-01-22,2017-02-14,CONFISCATE,CAT,transfer,HEALTHY,23,black,white,425,Sonoma County Animal Shelter,402
CHIHUAHUA SH,Neutered,2014-03-24,2014-09-09,2014-10-07,STRAY,DOG,adoption,HEALTHY,28,tan,none,197,Sonoma County Animal Shelter,169
BOXER/MIX,Spayed,2004-07-25,2017-10-13,2017-12-09,STRAY,DOG,adoption,TREATABLE/REHAB,57,brown,white,4885,Sonoma County Animal Shelter,4828
DOMESTIC SH,Spayed,2014-10-17,2016-08-25,2016-10-26,STRAY,CAT,adoption,TREATABLE/REHAB,62,brn tabby,none,740,Sonoma County Animal Shelter,678
DOMESTIC SH,Neutered,2014-06-19,2018-06-12,2018-06-19,STRAY,CAT,adoption,TREATABLE/REHAB,7,brn tabby,white,1461,Sonoma County Animal Shelter,1454
PIT BULL,Neutered,2015-08-27,2016-02-25,2016-02-27,STRAY,DOG,return to owner,HEALTHY,2,blue,white,184,Sonoma County Animal Shelter,182
CHIHUAHUA SH,Neutered,2014-07-09,2015-06-09,2015-07-31,STRAY,DOG,transfer,HEALTHY,52,tan,white,387,Sonoma County Animal Shelter,335
PARSON RUSS TER/MIX,Male,2018-12-19,2019-03-18,2019-03-19,STRAY,DOG,return to owner,UNKNOWN,1,tricolor,none,90,Sonoma County Animal Shelter,89
DOMESTIC SH,Neutered,2016-04-20,2016-06-18,2016-06-24,STRAY,CAT,adoption,HEALTHY,6,black,none,65,Sonoma County Animal Shelter,59
SIAMESE,Unknown,1900-01-01,2019-08-24,2019-08-27,STRAY,CAT,transfer,UNKNOWN,3,seal pt,none,NaT,Sonoma County Animal Shelter,43699
DOMESTIC SH,Neutered,2016-05-03,2016-08-13,2016-08-19,STRAY,CAT,adoption,HEALTHY,6,slvr tabby,white,108,Sonoma County Animal Shelter,102
PIT BULL,Spayed,2015-09-13,2015-11-30,2015-12-30,TRANSFER,DOG,adoption,TREATABLE/REHAB,30,gold,white,108,Sonoma County Animal Shelter,78
CHICKEN,Male,1900-01-01,2021-06-10,2021-06-17,STRAY,OTHER,euthanize,UNKNOWN,7,white,none,NaT,Sonoma County Animal Shelter,44355
CHIHUAHUA LH,Neutered,2012-12-17,2015-12-15,2015-12-19,STRAY,DOG,return to owner,HEALTHY,4,brown,none,1097,Sonoma County Animal Shelter,1093
YORKSHIRE TERR,Spayed,2018-10-12,2021-08-31,2021-10-21,STRAY,DOG,adoption,HEALTHY,51,brown,black,1105,Sonoma County Animal Shelter,1054
GERM SHEPHERD,Male,2010-02-13,2017-03-01,2017-03-02,STRAY,DOG,return to owner,HEALTHY,1,tan,black,2574,Sonoma County Animal Shelter,2573
ROTTWEILER/MIX,Male,1900-01-01,2020-09-10,2020-09-12,STRAY,DOG,return to owner,UNKNOWN,2,black,brown,NaT,Sonoma County Animal Shelter,44082
RAT TERRIER/MIX,Neutered,1900-01-01,2016-09-30,2017-02-16,CONFISCATE,DOG,euthanize,UNTREATABLE,139,black,tan,NaT,Sonoma County Animal Shelter,42641
PIT BULL,Male,2012-07-21,2017-03-03,2017-03-14,OWNER SURRENDER,DOG,euthanize,UNTREATABLE,11,brown,none,1697,Sonoma County Animal Shelter,1686
LABRADOR RETR/MIX,Spayed,2008-03-07,2016-02-17,2016-02-17,STRAY,DOG,return to owner,HEALTHY,0,chocolate,white,2903,Sonoma County Animal Shelter,2903
DOMESTIC LH,Male,2020-04-09,2020-06-09,2020-06-11,STRAY,CAT,euthanize,UNKNOWN,2,orange,none,63,Sonoma County Animal Shelter,61
PUG,Male,2014-06-09,2022-12-16,2022-12-17,STRAY,DOG,return to owner,UNKNOWN,1,fawn,none,3113,Sonoma County Animal Shelter,3112
BLACK/TAN HOUND,Neutered,2005-01-08,2015-01-07,2015-01-08,STRAY,DOG,return to owner,HEALTHY,1,black,tan,3652,Sonoma County Animal Shelter,3651
BOSTON TERRIER,Neutered,1900-01-01,2014-10-24,2014-10-24,STRAY,DOG,return to owner,HEALTHY,0,black,white,NaT,Sonoma County Animal Shelter,41934
WELSH CORGI PEM/QUEENSLAND HEEL,Female,2016-06-15,2017-05-23,2017-07-06,STRAY,DOG,transfer,HEALTHY,44,tricolor,none,386,Sonoma County Animal Shelter,342
DOMESTIC MH,Female,2019-04-07,2020-10-07,2020-10-23,STRAY,CAT,transfer,TREATABLE/REHAB,16,org tabby,white,565,Sonoma County Animal Shelter,549
CAIRN TERRIER/MIX,Spayed,2013-03-08,2017-03-09,2017-03-11,OWNER SURRENDER,DOG,adoption,TREATABLE/REHAB,2,white,none,1464,Sonoma County Animal Shelter,1462
DOMESTIC SH,Neutered,2014-06-19,2014-08-19,2014-09-04,STRAY,CAT,adoption,TREATABLE/MANAGEABLE,16,org tabby,none,77,Sonoma County Animal Shelter,61
CHIHUAHUA SH,Neutered,2011-03-21,2017-03-16,2017-03-21,STRAY,DOG,return to owner,HEALTHY,5,tan,none,2192,Sonoma County Animal Shelter,2187
GERM SHEPHERD,Neutered,2022-04-16,2022-08-20,2022-09-21,STRAY,DOG,adoption,HEALTHY,32,black,brown,158,Sonoma County Animal Shelter,126
PIT BULL,Spayed,2014-11-05,2015-10-27,2015-11-07,STRAY,DOG,adoption,HEALTHY,11,tan,none,367,Sonoma County Animal Shelter,356
DOMESTIC SH,Spayed,2017-06-26,2018-06-15,2018-07-19,STRAY,CAT,adoption,UNKNOWN,34,tortie,none,388,Sonoma County Animal Shelter,354
CHOW CHOW,Neutered,2012-08-08,2019-01-19,2019-02-23,STRAY,DOG,transfer,UNKNOWN,35,tan,none,2390,Sonoma County Animal Shelter,2355
WELSH CORGI PEM,Spayed,2004-08-01,2014-11-26,2014-11-26,STRAY,DOG,return to owner,HEALTHY,0,red,none,3769,Sonoma County Animal Shelter,3769
PIT BULL,Spayed,2009-09-15,2015-05-19,2015-05-21,STRAY,DOG,return to owner,HEALTHY,2,tan,none,2074,Sonoma County Animal Shelter,2072
DOMESTIC SH,Spayed,2016-08-03,2016-09-23,2016-11-30,OWNER SURRENDER,CAT,adoption,TREATABLE/REHAB,68,blk tabby,none,119,Sonoma County Animal Shelter,51
SIBERIAN HUSKY,Neutered,2016-11-04,2020-10-03,2020-11-04,STRAY,DOG,return to owner,UNKNOWN,32,gray,white,1461,Sonoma County Animal Shelter,1429
POODLE MIN/MIX,Neutered,1900-01-01,2017-09-27,2017-09-27,STRAY,DOG,return to owner,UNKNOWN,0,white,none,NaT,Sonoma County Animal Shelter,43003
FRENCH BULLDOG,Female,2017-09-25,2018-06-12,2018-06-12,STRAY,DOG,return to owner,UNKNOWN,0,blue,bl brindle,260,Sonoma County Animal Shelter,260
ROTTWEILER,Neutered,2014-02-13,2017-09-05,2017-09-05,STRAY,DOG,return to owner,HEALTHY,0,black,tan,1300,Sonoma County Animal Shelter,1300
BULL TERRIER,Male,2018-03-27,2021-10-16,2021-10-22,STRAY,DOG,return to owner,UNKNOWN,6,black,white,1305,Sonoma County Animal Shelter,1299
DOMESTIC SH,Neutered,1900-01-01,2014-09-04,2014-09-09,STRAY,CAT,return to owner,HEALTHY,5,slvr tabby,white,NaT,Sonoma County Animal Shelter,41884
PIT BULL/BORDER COLLIE,Male,1900-01-01,2013-12-31,2014-01-09,STRAY,DOG,euthanize,UNTREATABLE,9,white,black,NaT,Sonoma County Animal Shelter,41637
BORDER COLLIE/GERM SHEPHERD,Neutered,2014-07-22,2016-07-12,2016-07-22,STRAY,DOG,adoption,HEALTHY,10,tricolor,none,731,Sonoma County Animal Shelter,721
DOMESTIC LH,Neutered,2015-09-01,2015-10-14,2015-11-07,STRAY,CAT,adoption,TREATABLE/REHAB,24,black,none,67,Sonoma County Animal Shelter,43
DOMESTIC SH,Spayed,2017-06-18,2019-02-28,2019-03-16,STRAY,CAT,adoption,HEALTHY,16,tortie,none,636,Sonoma County Animal Shelter,620
CHIHUAHUA SH,Male,2000-08-18,2014-07-19,2014-08-30,STRAY,DOG,transfer,TREATABLE/MANAGEABLE,42,black,none,5125,Sonoma County Animal Shelter,5083
DOMESTIC SH,Neutered,2015-04-10,2015-08-05,2015-08-15,STRAY,CAT,adoption,HEALTHY,10,brn tabby,none,127,Sonoma County Animal Shelter,117
DOMESTIC SH,Male,2021-04-27,2023-04-27,2023-05-30,STRAY,CAT,transfer,UNKNOWN,33,org tabby,white,763,Sonoma County Animal Shelter,730
DOMESTIC SH,Neutered,2016-05-22,2017-01-31,2017-02-04,OWNER SURRENDER,CAT,adoption,HEALTHY,4,white,black,258,Sonoma County Animal Shelter,254
GERM SHEPHERD,Spayed,2009-12-15,2017-10-27,2017-12-16,STRAY,DOG,transfer,UNKNOWN,50,black,tan,2923,Sonoma County Animal Shelter,2873
DOMESTIC SH,Spayed,2007-03-30,2016-10-26,2016-11-08,OWNER SURRENDER,CAT,adoption,HEALTHY,13,calico,none,3511,Sonoma County Animal Shelter,3498
PIT BULL,Male,1900-01-01,2019-11-20,2019-11-23,CONFISCATE,DOG,return to owner,HEALTHY,3,blue,white,NaT,Sonoma County Animal Shelter,43787
DOMESTIC SH,Neutered,2004-02-13,2019-01-03,2019-01-25,ADOPTION RETURN,CAT,transfer,TREATABLE/MANAGEABLE,22,org tabby,none,5460,Sonoma County Animal Shelter,5438
WELSH CORGI CAR/MIX,Neutered,2015-05-25,2018-09-29,2018-10-13,CONFISCATE,DOG,return to owner,UNKNOWN,14,tricolor,none,1237,Sonoma County Animal Shelter,1223
BOSTON TERRIER/MIX,Spayed,2011-09-21,2018-10-18,2018-11-29,OWNER SURRENDER,DOG,adoption,HEALTHY,42,br brindle,none,2626,Sonoma County Animal Shelter,2584
CHIHUAHUA SH,Neutered,2012-09-30,2020-09-30,2020-09-30,STRAY,DOG,return to owner,UNKNOWN,0,brown,tan,2922,Sonoma County Animal Shelter,2922
CHIHUAHUA SH,Neutered,2018-12-12,2019-12-12,2019-12-27,STRAY,DOG,adoption,HEALTHY,15,brown,black,380,Sonoma County Animal Shelter,365
RABBIT SH,Unknown,2015-08-11,2015-08-25,2015-11-01,STRAY,OTHER,transfer,TREATABLE/REHAB,68,white,gray,82,Sonoma County Animal Shelter,14
CHIHUAHUA SH,Neutered,2015-04-20,2016-01-05,2016-01-22,STRAY,DOG,adoption,HEALTHY,17,brown,white,277,Sonoma County Animal Shelter,260
BORDER COLLIE/LABRADOR RETR,Neutered,2016-12-17,2022-05-25,2022-06-02,QUARANTINE,DOG,return to owner,UNKNOWN,8,black,white,1993,Sonoma County Animal Shelter,1985
DOMESTIC SH,Female,2020-06-02,2020-07-01,2020-07-02,STRAY,CAT,transfer,TREATABLE/REHAB,1,brn tabby,none,30,Sonoma County Animal Shelter,29
POINTER/MIX,Neutered,2014-07-21,2015-06-25,2015-07-23,STRAY,DOG,adoption,HEALTHY,28,white,black,367,Sonoma County Animal Shelter,339
DOMESTIC SH,Male,1900-01-01,2021-06-29,2021-07-03,CONFISCATE,CAT,disposal,UNKNOWN,4,black,none,NaT,Sonoma County Animal Shelter,44374
DOMESTIC MH,Spayed,2009-12-16,2016-12-16,2017-01-28,OWNER SURRENDER,CAT,adoption,HEALTHY,43,tortie,none,2600,Sonoma County Animal Shelter,2557
BAT,Unknown,1900-01-01,2021-04-20,2021-04-20,QUARANTINE,OTHER,disposal,UNKNOWN,0,brown,none,NaT,Sonoma County Animal Shelter,44304
DOMESTIC SH,Neutered,2013-05-04,2015-04-28,2015-05-13,STRAY,CAT,adoption,HEALTHY,15,gray tabby,none,739,Sonoma County Animal Shelter,724
DOMESTIC SH,Neutered,2010-01-14,2023-01-14,2023-01-17,STRAY,CAT,euthanize,UNKNOWN,3,brn tabby,none,4751,Sonoma County Animal Shelter,4748
GREAT PYRENEES,Male,2016-09-19,2017-04-19,2017-04-19,STRAY,DOG,return to owner,HEALTHY,0,white,none,212,Sonoma County Animal Shelter,212
RABBIT SH,Female,2017-04-28,2021-04-27,2021-04-27,STRAY,OTHER,euthanize,UNKNOWN,0,white,none,1460,Sonoma County Animal Shelter,1460
CAIRN TERRIER/MIX,Spayed,2018-06-18,2019-06-18,2019-06-19,STRAY,DOG,return to owner,UNKNOWN,1,white,none,366,Sonoma County Animal Shelter,365
BOSTON TERRIER,Spayed,2010-06-15,2019-03-28,2019-03-28,STRAY,DOG,return to owner,UNKNOWN,0,white,black,3208,Sonoma County Animal Shelter,3208
PAPILLON/MIX,Neutered,2017-08-20,2020-05-30,2020-06-02,STRAY,DOG,return to owner,HEALTHY,3,white,black,1017,Sonoma County Animal Shelter,1014
PIT BULL/MIX,Neutered,2010-09-18,2014-08-19,2014-10-14,STRAY,DOG,adoption,HEALTHY,56,black,white,1487,Sonoma County Animal Shelter,1431
MANX/MIX,Male,2014-09-08,2016-03-08,2016-03-16,STRAY,CAT,euthanize,TREATABLE/MANAGEABLE,8,org tabby,none,555,Sonoma County Animal Shelter,547
DOMESTIC SH,Neutered,2022-07-20,2022-09-03,2022-10-15,OWNER SURRENDER,CAT,adoption,HEALTHY,42,black,none,87,Sonoma County Animal Shelter,45
GERM SHEPHERD,Spayed,2018-02-14,2018-05-30,2018-06-15,STRAY,DOG,adoption,HEALTHY,16,black,tan,121,Sonoma County Animal Shelter,105
AUST CATTLE DOG,Neutered,2010-02-07,2016-01-30,2016-02-15,STRAY,DOG,transfer,TREATABLE/REHAB,16,blue merle,tan,2199,Sonoma County Animal Shelter,2183
ROTTWEILER,Male,1900-01-01,2019-10-04,2019-10-05,STRAY,DOG,return to owner,UNKNOWN,1,black,brown,NaT,Sonoma County Animal Shelter,43740
LABRADOR RETR/DOBERMAN PINSCH,Spayed,2015-03-07,2019-05-09,2019-06-08,ADOPTION RETURN,DOG,adoption,HEALTHY,30,black,none,1554,Sonoma County Animal Shelter,1524
AUST CATTLE DOG/MIX,Neutered,2019-09-16,2023-03-16,2023-03-16,STRAY,DOG,return to owner,UNKNOWN,0,white,black,1277,Sonoma County Animal Shelter,1277
DOBERMAN PINSCH/MIX,Spayed,2016-09-07,2016-11-15,2016-11-26,STRAY,DOG,adoption,HEALTHY,11,black,none,80,Sonoma County Animal Shelter,69
RAT TERRIER,Neutered,2015-04-11,2017-04-01,2017-07-19,STRAY,DOG,adoption,TREATABLE/MANAGEABLE,109,white,brown,830,Sonoma County Animal Shelter,721
BORDER COLLIE/ALASKAN HUSKY,Spayed,2011-03-20,2017-02-16,2017-04-04,CONFISCATE,DOG,adoption,HEALTHY,47,white,yellow,2207,Sonoma County Animal Shelter,2160
DOMESTIC SH,Female,1900-01-01,2016-04-05,2016-04-05,STRAY,CAT,transfer,HEALTHY,0,calico,none,NaT,Sonoma County Animal Shelter,42463
PIT BULL/MIX,Male,2021-03-20,2023-03-20,2023-04-08,CONFISCATE,DOG,return to owner,UNKNOWN,19,black,white,749,Sonoma County Animal Shelter,730
GERM WH POINT,Neutered,2013-01-24,2015-09-30,2015-10-20,STRAY,DOG,adoption,HEALTHY,20,brown,white,999,Sonoma County Animal Shelter,979
PIT BULL,Spayed,1900-01-01,2022-09-11,2022-10-03,QUARANTINE,DOG,euthanize,HEALTHY,22,black,white,NaT,Sonoma County Animal Shelter,44813
GERM SHEPHERD/MIX,Neutered,1900-01-01,2017-07-06,2017-07-06,STRAY,DOG,return to owner,HEALTHY,0,black,tan,NaT,Sonoma County Animal Shelter,42920
GREAT DANE/MIX,Neutered,2016-09-17,2018-12-04,2018-12-07,STRAY,DOG,return to owner,UNKNOWN,3,br brindle,white,811,Sonoma County Animal Shelter,808
PARAKEET,Female,1900-01-01,2019-10-08,2019-10-26,STRAY,OTHER,transfer,HEALTHY,18,white,gray,NaT,Sonoma County Animal Shelter,43744
DOMESTIC SH,Neutered,2013-06-01,2014-05-27,2014-06-13,OWNER SURRENDER,CAT,adoption,HEALTHY,17,black,white,377,Sonoma County Animal Shelter,360
DOMESTIC SH,Male,2018-04-22,2018-05-22,2018-06-25,STRAY,CAT,transfer,TREATABLE/REHAB,34,blk tabby,none,64,Sonoma County Animal Shelter,30
CHIHUAHUA SH,Spayed,2009-10-13,2022-08-06,2022-08-06,STRAY,DOG,return to owner,HEALTHY,0,black,white,4680,Sonoma County Animal Shelter,4680
PIT BULL,Spayed,2013-12-27,2017-01-04,2017-01-11,STRAY,DOG,return to owner,HEALTHY,7,white,tan,1111,Sonoma County Animal Shelter,1104
DOMESTIC SH,Spayed,2015-03-04,2016-03-04,2016-03-19,STRAY,CAT,adoption,HEALTHY,15,calico,none,381,Sonoma County Animal Shelter,366
DOMESTIC SH,Unknown,2016-06-21,2016-06-28,2016-06-28,STRAY,CAT,euthanize,UNTREATABLE,0,brn tabby,white,7,Sonoma County Animal Shelter,7
PIT BULL,Male,2014-12-08,2015-09-30,2015-10-08,CONFISCATE,DOG,return to owner,HEALTHY,8,bl brindle,white,304,Sonoma County Animal Shelter,296
DOMESTIC SH,Neutered,2015-05-15,2015-07-30,2015-08-04,STRAY,CAT,return to owner,HEALTHY,5,gray,none,81,Sonoma County Animal Shelter,76
GERM SHEPHERD,Neutered,2015-01-30,2017-01-14,2017-01-14,STRAY,DOG,return to owner,HEALTHY,0,black,tan,715,Sonoma County Animal Shelter,715
YORKSHIRE TERR/MIX,Neutered,2009-11-14,2018-11-14,2018-12-17,OWNER SURRENDER,DOG,transfer,UNKNOWN,33,brown,gray,3320,Sonoma County Animal Shelter,3287
DOMESTIC MH,Female,2007-03-28,2019-03-28,2019-03-28,STRAY,CAT,return to owner,UNKNOWN,0,black,none,4383,Sonoma County Animal Shelter,4383
DOMESTIC MH,Unknown,1900-01-01,2014-06-07,2014-06-07,STRAY,CAT,euthanize,UNTREATABLE,0,black,none,NaT,Sonoma County Animal Shelter,41795
DOMESTIC SH,Unknown,1900-01-01,2016-08-30,2016-09-06,STRAY,CAT,transfer,HEALTHY,7,gray tiger,none,NaT,Sonoma County Animal Shelter,42610
DOMESTIC LH,Unknown,1900-01-01,2016-05-31,2016-06-02,STRAY,CAT,euthanize,UNTREATABLE,2,gray,none,NaT,Sonoma County Animal Shelter,42519
PUG/MIX,Neutered,2014-07-02,2015-06-06,2015-07-28,STRAY,DOG,adoption,HEALTHY,52,brown,none,391,Sonoma County Animal Shelter,339
DOMESTIC SH,Spayed,2022-07-20,2022-09-03,2022-10-05,OWNER SURRENDER,CAT,adoption,HEALTHY,32,gray,none,77,Sonoma County Animal Shelter,45
DOMESTIC SH,Unknown,2018-10-03,2018-10-03,2018-10-03,STRAY,CAT,euthanize,UNTREATABLE,0,brn tabby,none,0,Sonoma County Animal Shelter,0
DOMESTIC SH,Neutered,2016-08-11,2020-07-31,2020-09-24,STRAY,CAT,transfer,UNKNOWN,55,black,white,1505,Sonoma County Animal Shelter,1450
SIAMESE/MIX,Unknown,1900-01-01,2016-08-25,2016-08-31,STRAY,CAT,transfer,HEALTHY,6,lynx pt,none,NaT,Sonoma County Animal Shelter,42605
PIT BULL,Spayed,2011-12-09,2018-12-26,2018-12-28,QUARANTINE,DOG,return to owner,UNKNOWN,2,white,none,2576,Sonoma County Animal Shelter,2574
SIBERIAN HUSKY,Neutered,2020-10-18,2022-10-18,2022-10-18,STRAY,DOG,return to owner,HEALTHY,0,black,white,730,Sonoma County Animal Shelter,730
DOMESTIC SH,Neutered,2014-09-16,2014-12-05,2015-01-09,STRAY,CAT,adoption,HEALTHY,35,black,none,115,Sonoma County Animal Shelter,80
GERM WH POINT/LABRADOR RETR,Female,2014-12-25,2015-09-09,2015-09-10,STRAY,DOG,return to owner,HEALTHY,1,black,white,259,Sonoma County Animal Shelter,258
DOMESTIC LH,Spayed,2019-06-14,2020-11-25,2021-01-05,STRAY,CAT,adoption,HEALTHY,41,black,white,571,Sonoma County Animal Shelter,530
CHIHUAHUA SH/MIX,Neutered,2008-10-18,2016-01-26,2016-02-19,STRAY,DOG,euthanize,TREATABLE/MANAGEABLE,24,black,brown,2680,Sonoma County Animal Shelter,2656
GERM SHEPHERD,Male,1900-01-01,2021-12-29,2022-02-18,STRAY,DOG,euthanize,UNTREATABLE,51,black,none,NaT,Sonoma County Animal Shelter,44557
RAT,Unknown,1900-01-01,2014-07-05,2014-07-11,STRAY,OTHER,euthanize,UNTREATABLE,6,brown,white,NaT,Sonoma County Animal Shelter,41823
DOMESTIC LH,Female,1900-01-01,2019-05-25,2019-05-25,STRAY,CAT,return to owner,UNKNOWN,0,tortie,none,NaT,Sonoma County Animal Shelter,43608
DOMESTIC SH,Spayed,2013-07-02,2015-07-02,2015-08-03,STRAY,CAT,adoption,HEALTHY,32,tortie,none,762,Sonoma County Animal Shelter,730
PIT BULL/MIX,Female,2013-01-13,2014-01-12,2014-01-23,STRAY,DOG,euthanize,UNTREATABLE,11,black,white,375,Sonoma County Animal Shelter,364
LABRADOR RETR/MIX,Spayed,2016-01-02,2016-06-02,2016-06-14,STRAY,DOG,adoption,HEALTHY,12,black,none,164,Sonoma County Animal Shelter,152
RAT TERRIER/DACHSHUND,Neutered,2012-01-01,2016-09-29,2016-10-15,STRAY,DOG,adoption,HEALTHY,16,black,none,1749,Sonoma County Animal Shelter,1733
RUSSIAN BLUE/MIX,Neutered,2009-06-14,2017-02-25,2017-02-25,STRAY,CAT,return to owner,TREATABLE/REHAB,0,blue,none,2813,Sonoma County Animal Shelter,2813
POODLE MIN/MIX,Neutered,2013-07-19,2016-08-25,2016-09-09,ADOPTION RETURN,DOG,transfer,HEALTHY,15,white,none,1148,Sonoma County Animal Shelter,1133
PIT BULL,Male,2016-10-27,2018-01-28,2018-02-03,STRAY,DOG,return to owner,HEALTHY,6,black,white,464,Sonoma County Animal Shelter,458
BOSTON TERRIER,Male,2013-02-17,2023-01-25,2023-01-25,STRAY,DOG,return to owner,UNKNOWN,0,black,white,3629,Sonoma County Animal Shelter,3629
ROTTWEILER/GERM SHEPHERD,Neutered,2014-11-25,2014-11-26,2015-01-24,STRAY,DOG,adoption,HEALTHY,59,brown,none,60,Sonoma County Animal Shelter,1
POMERANIAN/MIX,Spayed,2010-11-03,2016-06-27,2016-06-28,STRAY,DOG,return to owner,HEALTHY,1,tan,none,2064,Sonoma County Animal Shelter,2063
CHIHUAHUA SH,Neutered,2012-09-18,2014-08-19,2014-09-27,TRANSFER,DOG,adoption,HEALTHY,39,tan,white,739,Sonoma County Animal Shelter,700
POODLE MIN/MALTESE,Male,2007-02-17,2015-02-14,2015-02-17,STRAY,DOG,return to owner,HEALTHY,3,white,none,2922,Sonoma County Animal Shelter,2919
LABRADOR RETR,Neutered,2016-02-11,2016-06-28,2016-07-12,STRAY,DOG,adoption,HEALTHY,14,chocolate,none,152,Sonoma County Animal Shelter,138
RABBIT SH,Spayed,1900-01-01,2014-12-06,2015-08-14,STRAY,OTHER,transfer,HEALTHY,251,black,white,NaT,Sonoma County Animal Shelter,41977
BAT,Unknown,1900-01-01,2022-01-24,2022-01-25,QUARANTINE,OTHER,disposal,UNKNOWN,1,brown,none,NaT,Sonoma County Animal Shelter,44583
DOMESTIC SH,Neutered,2015-02-28,2015-04-08,2015-05-08,STRAY,CAT,adoption,TREATABLE/REHAB,30,brn tabby,none,69,Sonoma County Animal Shelter,39
