Animal_Type,DOB,Primary_Color,Secondary_Color,Sex,Intake_Date,Intake_Condition,Intake_Type,Outcome_Date,Outcome_Type,Intake_Age,Outcome_Age,Time_in_Shelter_Days,Intake_Age_Days,Breed,Shelter_Name
DOG,2012-05-21,WHITE,None,Male,2017-05-21,NORMAL,OWNER SURRENDER,2017-06-05,RESCUE,1826 days,1841 days,15 days,1826,Unknown,Long Beach California Animal Shelter
CAT,2016-10-07,CREAM,None,Neutered,2017-01-07,NORMAL,STRAY,2017-01-27,TRANSFER,92 days,112 days,20 days,92,Unknown,Long Beach California Animal Shelter
CAT,2020-07-16,CALICO TAB,None,Spayed,2020-10-11,BEHAVIOR  MILD,RETURN,2020-11-01,ADOPTION,87 days,108 days,21 days,87,Unknown,Long Beach California Animal Shelter
GUINEA PIG,2017-10-20,WHITE,BROWN,Male,2022-10-19,NORMAL,STRAY,2022-11-08,TRANSFER,1825 days,1845 days,20 days,1825,Unknown,Long Beach California Animal Shelter
CAT,2024-09-06,BLACK,None,Neutered,2024-09-07,UNDER AGE/WEIGHT,STRAY,2024-12-06,RESCUE,1 days,91 days,90 days,1,Unknown,Long Beach California Animal Shelter
DOG,2014-01-01,WHITE,BROWN,Male,2017-01-01,NORMAL,STRAY,2017-01-15,ADOPTION,1096 days,1110 days,14 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2018-04-23,BLACK,None,Male,2018-05-26,UNDER AGE/WEIGHT,STRAY,2018-05-28,EUTHANASIA,33 days,35 days,2 days,33,Unknown,Long Beach California Animal Shelter
CAT,2016-05-26,BLACK,None,Neutered,2018-05-26,NORMAL,STRAY,2018-05-31,"SHELTER, NEUTER, RETURN",730 days,735 days,5 days,730,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,ORANGE,None,Male,2018-06-10,NORMAL,STRAY,2018-07-06,EUTHANASIA,61 days,87 days,26 days,61,Unknown,Long Beach California Animal Shelter
CAT,2018-07-26,BLACK,None,Male,2018-08-16,UNDER AGE/WEIGHT,STRAY,2018-08-17,RESCUE,21 days,22 days,1 days,21,Unknown,Long Beach California Animal Shelter
CAT,2018-04-10,ORG TABBY,None,Neutered,2018-06-10,NORMAL,STRAY,2018-08-08,ADOPTION,61 days,120 days,59 days,61,Unknown,Long Beach California Animal Shelter
OTHER,2018-11-28,GRAY,None,Unknown,2019-11-28,INJURED  SEVERE,WILDLIFE,2019-11-28,DIED,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
CAT,2020-04-02,BLACK,WHITE,Neutered,2020-07-31,FRACTIOUS,STRAY,2020-08-25,"SHELTER, NEUTER, RETURN",120 days,145 days,25 days,120,Unknown,Long Beach California Animal Shelter
DOG,2018-12-19,RED,WHITE,Spayed,2021-12-19,BEHAVIOR  MODERATE,OWNER SURRENDER,2022-04-09,FOSTER TO ADOPT,1096 days,1207 days,111 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2022-04-17,GRAY,None,Neutered,2024-04-17,NORMAL,STRAY,2024-05-08,ADOPTION,731 days,752 days,21 days,731,Unknown,Long Beach California Animal Shelter
CAT,2017-05-04,BLACK,WHITE,Spayed,2017-08-04,NORMAL,STRAY,2017-08-24,ADOPTION,92 days,112 days,20 days,92,Unknown,Long Beach California Animal Shelter
DOG,2011-09-29,WHITE,GRAY,Neutered,2017-10-25,NORMAL,OWNER SURRENDER,2017-12-15,RESCUE,2218 days,2269 days,51 days,2218,Unknown,Long Beach California Animal Shelter
CAT,2019-11-17,BLACK,None,Neutered,2022-03-19,NORMAL,OWNER SURRENDER,2022-04-09,ADOPTION,853 days,874 days,21 days,853,Unknown,Long Beach California Animal Shelter
CAT,2014-05-13,GRAY,None,Female,2022-05-08,ILL MILD,STRAY,2022-05-25,EUTHANASIA,2917 days,2934 days,17 days,2917,Unknown,Long Beach California Animal Shelter
DOG,2015-12-20,BLACK,BROWN,Spayed,2020-12-20,NORMAL,OWNER SURRENDER,2021-01-17,ADOPTION,1827 days,1855 days,28 days,1827,Unknown,Long Beach California Animal Shelter
CAT,2016-04-23,BLACK,WHITE,Neutered,2019-04-23,INJURED  SEVERE,STRAY,2019-07-27,ADOPTION,1095 days,1190 days,95 days,1095,Unknown,Long Beach California Animal Shelter
BIRD,2017-10-13,GRAY,BROWN,Unknown,2018-04-13,INJURED  MODERATE,WILDLIFE,2018-04-13,TRANSFER,182 days,182 days,0 days,182,Unknown,Long Beach California Animal Shelter
CAT,2021-09-01,ORG TABBY,None,Neutered,2022-03-01,NORMAL,OWNER SURRENDER,2022-06-30,EUTHANASIA,181 days,302 days,121 days,181,Unknown,Long Beach California Animal Shelter
CAT,2012-03-19,GRAY,WHITE,Neutered,2017-03-19,FERAL,OWNER SURRENDER,2017-04-13,RESCUE,1826 days,1851 days,25 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2017-06-30,BROWN,None,Spayed,2018-06-30,FRACTIOUS,OWNER SURRENDER,2018-07-27,ADOPTION,365 days,392 days,27 days,365,Unknown,Long Beach California Animal Shelter
DOG,2017-03-10,BLACK,WHITE,Female,2018-03-10,NORMAL,OWNER SURRENDER,2018-03-10,TRANSFER,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
DOG,2014-02-24,WHITE,None,Neutered,2017-02-24,NORMAL,OWNER SURRENDER,2017-03-08,RESCUE,1096 days,1108 days,12 days,1096,Unknown,Long Beach California Animal Shelter
DOG,2018-01-13,BROWN,None,Spayed,2019-07-11,AGED,STRAY,2019-07-11,RETURN TO OWNER,544 days,544 days,0 days,544,Unknown,Long Beach California Animal Shelter
CAT,2017-04-09,GRAY TABBY,None,Male,2017-06-09,NORMAL,OWNER SURRENDER,2017-06-17,RETURN TO OWNER,61 days,69 days,8 days,61,Unknown,Long Beach California Animal Shelter
CAT,2022-07-01,GRAY,WHITE,Male,2023-07-01,NORMAL,STRAY,2023-07-22,COMMUNITY CAT,365 days,386 days,21 days,365,Unknown,Long Beach California Animal Shelter
CAT,2024-08-18,BRN TABBY,None,Neutered,2024-09-18,UNDER AGE/WEIGHT,STRAY,2024-10-01,RESCUE,31 days,44 days,13 days,31,Unknown,Long Beach California Animal Shelter
CAT,2024-06-16,BLACK,None,Spayed,2024-07-27,UNDER AGE/WEIGHT,STRAY,2024-10-24,ADOPTION,41 days,130 days,89 days,41,Unknown,Long Beach California Animal Shelter
CAT,2014-01-22,BLACK,WHITE,Spayed,2020-01-22,FRACTIOUS,STRAY,2020-01-22,RETURN TO OWNER,2191 days,2191 days,0 days,2191,Unknown,Long Beach California Animal Shelter
BIRD,2020-09-18,RED,BROWN,Female,2023-09-18,INJURED  SEVERE,OWNER SURRENDER,2023-09-18,EUTHANASIA,1095 days,1095 days,0 days,1095,Unknown,Long Beach California Animal Shelter
CAT,2018-10-17,BLK TABBY,WHITE,Neutered,2020-10-17,NORMAL,STRAY,2020-10-20,"SHELTER, NEUTER, RETURN",731 days,734 days,3 days,731,Unknown,Long Beach California Animal Shelter
OTHER,2018-12-25,GRAY,None,Unknown,2019-12-25,INJURED  SEVERE,WILDLIFE,2019-12-25,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
BIRD,2020-08-15,RED,None,Unknown,2021-08-15,NORMAL,OWNER SURRENDER,2021-08-17,ADOPTION,365 days,367 days,2 days,365,Unknown,Long Beach California Animal Shelter
RABBIT,2018-09-07,BUFF,WHITE,Spayed,2023-12-17,NORMAL,OWNER SURRENDER,2023-12-23,RESCUE,1927 days,1933 days,6 days,1927,Unknown,Long Beach California Animal Shelter
DOG,2020-02-10,BLACK,WHITE,Neutered,2022-04-22,NORMAL,WELFARE SEIZED,2022-05-28,ADOPTION,802 days,838 days,36 days,802,Unknown,Long Beach California Animal Shelter
BIRD,2023-04-30,BROWN,None,Unknown,2024-04-30,INJURED  SEVERE,WILDLIFE,2024-04-30,EUTHANASIA,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
DOG,2021-05-20,BLACK,WHITE,Male,2022-05-17,NORMAL,STRAY,2022-05-17,RETURN TO OWNER,362 days,362 days,0 days,362,Unknown,Long Beach California Animal Shelter
DOG,2017-04-14,TAN,None,Neutered,2018-04-14,NORMAL,STRAY,2018-08-15,ADOPTION,365 days,488 days,123 days,365,Unknown,Long Beach California Animal Shelter
BIRD,2020-10-11,BROWN,WHITE,Unknown,2021-01-11,INJURED  MODERATE,WILDLIFE,2021-01-11,TRANSFER,92 days,92 days,0 days,92,Unknown,Long Beach California Animal Shelter
CAT,2007-02-24,BROWN,WHITE,Female,2017-02-24,NORMAL,OWNER SURRENDER,2017-02-24,DISPOSAL,3653 days,3653 days,0 days,3653,Unknown,Long Beach California Animal Shelter
CAT,2019-10-18,CALICO TAB,None,Spayed,2020-10-20,NORMAL,RETURN,2020-10-26,"SHELTER, NEUTER, RETURN",368 days,374 days,6 days,368,Unknown,Long Beach California Animal Shelter
DOG,2021-03-17,WHITE,None,Neutered,2022-03-17,NORMAL,OWNER SURRENDER,2022-03-17,TRANSFER,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
BIRD,2016-09-10,BLACK,None,Unknown,2017-09-10,ILL SEVERE,WILDLIFE,2017-09-10,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
DOG,2014-03-05,BLUE,None,Neutered,2019-01-05,NORMAL,OWNER SURRENDER,2019-12-22,RESCUE,1767 days,2118 days,351 days,1767,Unknown,Long Beach California Animal Shelter
DOG,2019-04-20,BROWN,None,Neutered,2020-01-26,BEHAVIOR  MODERATE,RETURN,2020-04-15,RESCUE,281 days,361 days,80 days,281,Unknown,Long Beach California Animal Shelter
OTHER,2022-08-19,BROWN,BROWN,Unknown,2023-08-19,ILL MILD,WILDLIFE,2023-08-20,TRANSFER,365 days,366 days,1 days,365,Unknown,Long Beach California Animal Shelter
DOG,2018-09-04,TAN,None,Female,2021-09-04,INJURED  SEVERE,STRAY,2021-09-04,DIED,1096 days,1096 days,0 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2020-07-06,ORG TABBY,None,Male,2021-01-02,NORMAL,STRAY,2021-01-07,RESCUE,180 days,185 days,5 days,180,Unknown,Long Beach California Animal Shelter
CAT,2019-04-22,BLACK,WHITE,Male,2019-06-22,NORMAL,STRAY,2019-06-22,TRANSFER,61 days,61 days,0 days,61,Unknown,Long Beach California Animal Shelter
DOG,2013-03-25,TAN,None,Neutered,2017-03-25,INJURED  MILD,STRAY,2017-04-01,ADOPTION,1461 days,1468 days,7 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2018-05-15,BLACK,None,Neutered,2018-08-15,FRACTIOUS,STRAY,2018-09-06,"SHELTER, NEUTER, RETURN",92 days,114 days,22 days,92,Unknown,Long Beach California Animal Shelter
CAT,2018-05-15,CALICO,None,Spayed,2018-08-15,FRACTIOUS,STRAY,2018-08-28,"SHELTER, NEUTER, RETURN",92 days,105 days,13 days,92,Unknown,Long Beach California Animal Shelter
CAT,2015-03-21,BLACK,WHITE,Spayed,2023-03-31,NORMAL,OWNER SURRENDER,2023-08-09,ADOPTION,2932 days,3063 days,131 days,2932,Unknown,Long Beach California Animal Shelter
DOG,2021-07-28,TAN,WHITE,Female,2022-07-28,NORMAL,STRAY,2022-08-05,TRANSFER,365 days,373 days,8 days,365,Unknown,Long Beach California Animal Shelter
CAT,2015-02-02,BLACK,None,Unknown,2019-02-02,NORMAL,STRAY,2019-02-02,EUTHANASIA,1461 days,1461 days,0 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2015-10-01,FAWN,WHITE,Neutered,2020-11-07,NORMAL,OWNER SURRENDER,2021-01-29,ADOPTION,1864 days,1947 days,83 days,1864,Unknown,Long Beach California Animal Shelter
OTHER,2023-07-28,BROWN,None,Male,2024-07-28,INJURED  SEVERE,WILDLIFE,2024-07-28,DIED,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
CAT,2015-05-06,BRN TABBY,None,Neutered,2021-01-27,FRACTIOUS,WELFARE SEIZED,2021-05-06,ADOPTION,2093 days,2192 days,99 days,2093,Unknown,Long Beach California Animal Shelter
DOG,2014-01-10,BROWN,None,Neutered,2019-01-10,NORMAL,CONFISCATE,2019-01-11,RETURN TO OWNER,1826 days,1827 days,1 days,1826,Unknown,Long Beach California Animal Shelter
CAT,2011-06-17,CALICO,None,Spayed,2017-07-23,NORMAL,SAFE KEEP,2017-07-26,RETURN TO OWNER,2228 days,2231 days,3 days,2228,Unknown,Long Beach California Animal Shelter
OTHER,2023-07-04,BROWN,None,Male,2023-09-04,INJURED  SEVERE,WILDLIFE,2023-09-04,EUTHANASIA,62 days,62 days,0 days,62,Unknown,Long Beach California Animal Shelter
DOG,2018-11-02,BLACK,WHITE,Neutered,2021-11-02,NORMAL,STRAY,2021-11-17,ADOPTION,1096 days,1111 days,15 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2021-04-29,BRN TABBY,WHITE,Male,2021-05-06,UNDER AGE/WEIGHT,STRAY,2021-05-06,RESCUE,7 days,7 days,0 days,7,Unknown,Long Beach California Animal Shelter
OTHER,2018-04-12,GRAY,None,Female,2019-04-12,INJURED  SEVERE,WILDLIFE,2019-04-12,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
OTHER,2020-09-24,WHITE,TAN,Male,2021-09-24,NORMAL,OWNER SURRENDER,2021-10-02,TRANSFER,365 days,373 days,8 days,365,Unknown,Long Beach California Animal Shelter
CAT,2021-04-20,GRAY,None,Female,2021-05-20,UNDER AGE/WEIGHT,STRAY,2021-05-20,RESCUE,30 days,30 days,0 days,30,Unknown,Long Beach California Animal Shelter
CAT,2014-01-07,SLVR TABBY,WHITE,Neutered,2017-01-07,NORMAL,OWNER SURRENDER,2017-01-08,TRANSFER,1096 days,1097 days,1 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2018-04-17,BRN TABBY,WHITE,Male,2018-06-17,NORMAL,STRAY,2018-06-22,RESCUE,61 days,66 days,5 days,61,Unknown,Long Beach California Animal Shelter
CAT,2017-08-09,WHITE,GRAY,Spayed,2017-12-09,NORMAL,STRAY,2017-12-23,ADOPTION,122 days,136 days,14 days,122,Unknown,Long Beach California Animal Shelter
OTHER,2017-05-17,GRAY,BLACK,Unknown,2017-07-17,ILL SEVERE,WILDLIFE,2017-07-18,RETURN TO WILD HABITAT,61 days,62 days,1 days,61,Unknown,Long Beach California Animal Shelter
CAT,2018-04-17,GRAY TABBY,CALICO,Female,2018-06-17,NORMAL,STRAY,2018-06-22,RESCUE,61 days,66 days,5 days,61,Unknown,Long Beach California Animal Shelter
CAT,2020-08-02,GRAY TABBY,None,Male,2020-10-02,NORMAL,STRAY,2020-10-04,TRANSFER,61 days,63 days,2 days,61,Unknown,Long Beach California Animal Shelter
CAT,2023-08-22,BLACK,None,Spayed,2024-01-10,NORMAL,RETURN,2024-01-10,EUTHANASIA,141 days,141 days,0 days,141,Unknown,Long Beach California Animal Shelter
CAT,2010-04-27,CALICO,None,Female,2017-04-27,NORMAL,STRAY,2017-05-04,EUTHANASIA,2557 days,2564 days,7 days,2557,Unknown,Long Beach California Animal Shelter
DOG,2022-07-13,TAN,WHITE,Neutered,2024-07-13,NORMAL,STRAY,2024-07-19,ADOPTION,731 days,737 days,6 days,731,Unknown,Long Beach California Animal Shelter
CAT,2013-11-28,BLACK,WHITE,Neutered,2018-11-28,NORMAL,STRAY,2018-12-27,"SHELTER, NEUTER, RETURN",1826 days,1855 days,29 days,1826,Unknown,Long Beach California Animal Shelter
CAT,2015-11-09,TORTIE,BLACK,Spayed,2018-11-09,NORMAL,STRAY,2018-11-20,"SHELTER, NEUTER, RETURN",1096 days,1107 days,11 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2023-07-18,GRAY TABBY,None,Female,2023-11-18,NORMAL,STRAY,2023-11-18,TRANSFER,123 days,123 days,0 days,123,Unknown,Long Beach California Animal Shelter
RABBIT,2018-02-08,GRAY,WHITE,Spayed,2019-02-21,NORMAL,OWNER SURRENDER,2019-02-24,ADOPTION,378 days,381 days,3 days,378,Unknown,Long Beach California Animal Shelter
OTHER,2017-01-05,BROWN,None,Unknown,2017-07-05,NORMAL,WILDLIFE,2017-07-05,RETURN TO WILD HABITAT,181 days,181 days,0 days,181,Unknown,Long Beach California Animal Shelter
BIRD,2017-04-20,Y BRINDLE,None,Male,2017-07-20,NORMAL,OWNER SURRENDER,2017-07-20,RESCUE,91 days,91 days,0 days,91,Unknown,Long Beach California Animal Shelter
DOG,2017-11-01,BROWN,None,Neutered,2019-12-04,NORMAL,STRAY,2019-12-18,ADOPTION,763 days,777 days,14 days,763,Unknown,Long Beach California Animal Shelter
CAT,2016-10-31,GRAY TABBY,None,Spayed,2018-10-31,FRACTIOUS,STRAY,2018-11-08,"SHELTER, NEUTER, RETURN",730 days,738 days,8 days,730,Unknown,Long Beach California Animal Shelter
DOG,2011-06-09,BLACK,None,Male,2018-06-09,NORMAL,STRAY,2018-06-10,RETURN TO OWNER,2557 days,2558 days,1 days,2557,Unknown,Long Beach California Animal Shelter
CAT,2013-10-18,ORG TABBY,WHITE,Neutered,2017-10-18,NORMAL,STRAY,2018-05-19,ADOPTION,1461 days,1674 days,213 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2009-03-09,BROWN,WHITE,Female,2018-02-14,ILL MILD,OWNER SURRENDER,2018-04-13,TRANSFER,3264 days,3322 days,58 days,3264,Unknown,Long Beach California Animal Shelter
DOG,2023-12-10,BLACK,TAN,Spayed,2024-09-09,NORMAL,STRAY,2024-09-21,ADOPTION,274 days,286 days,12 days,274,Unknown,Long Beach California Animal Shelter
BIRD,2018-04-10,WHITE,GRAY,Unknown,2019-04-10,ILL SEVERE,WILDLIFE,2019-04-10,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
CAT,2023-03-09,CALICO,None,Spayed,2023-05-03,NORMAL,STRAY,2023-05-06,ADOPTION,55 days,58 days,3 days,55,Unknown,Long Beach California Animal Shelter
CAT,2023-03-09,BLACK,None,Female,2023-05-03,NORMAL,STRAY,2023-06-15,ADOPTION,55 days,98 days,43 days,55,Unknown,Long Beach California Animal Shelter
CAT,2020-04-01,BLACK,WHITE,Male,2020-05-13,UNDER AGE/WEIGHT,STRAY,2020-05-13,ADOPTION,42 days,42 days,0 days,42,Unknown,Long Beach California Animal Shelter
CAT,2013-07-20,ORANGE,None,Male,2021-07-20,ILL MODERATETE,STRAY,2021-08-04,EUTHANASIA,2922 days,2937 days,15 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2015-01-01,BROWN,None,Neutered,2024-01-24,NORMAL,OWNER SURRENDER,2024-01-30,RESCUE,3310 days,3316 days,6 days,3310,Unknown,Long Beach California Animal Shelter
DOG,2005-08-21,WHITE,BR BRINDLE,Male,2018-08-21,ILL MILD,STRAY,2018-08-22,RETURN TO OWNER,4748 days,4749 days,1 days,4748,Unknown,Long Beach California Animal Shelter
DOG,2015-02-24,WHITE,BROWN,Female,2017-02-24,NORMAL,STRAY,2017-02-25,TRANSFER,731 days,732 days,1 days,731,Unknown,Long Beach California Animal Shelter
DOG,2017-01-14,BROWN,BLACK,Female,2018-01-14,NORMAL,STRAY,2018-01-20,TRANSFER,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
DOG,2016-03-29,BLACK,TAN,Male,2018-11-14,NORMAL,SAFE KEEP,2018-11-28,RETURN TO OWNER,960 days,974 days,14 days,960,Unknown,Long Beach California Animal Shelter
CAT,2021-08-18,GRAY,None,Female,2021-12-18,ILL SEVERE,STRAY,2021-12-18,EUTHANASIA,122 days,122 days,0 days,122,Unknown,Long Beach California Animal Shelter
CAT,2020-04-16,ORG TABBY,None,Male,2020-07-16,NORMAL,STRAY,2020-07-30,TRANSFER,91 days,105 days,14 days,91,Unknown,Long Beach California Animal Shelter
DOG,2023-06-20,WHITE,BLACK,Male,2023-09-20,NORMAL,STRAY,2023-09-20,RESCUE,92 days,92 days,0 days,92,Unknown,Long Beach California Animal Shelter
CAT,2013-05-26,BLACK,WHITE,Neutered,2018-05-26,FRACTIOUS,STRAY,2018-06-23,"SHELTER, NEUTER, RETURN",1826 days,1854 days,28 days,1826,Unknown,Long Beach California Animal Shelter
RABBIT,2023-03-20,WHITE,BLACK,Neutered,2024-03-20,NORMAL,STRAY,2024-04-03,RESCUE,366 days,380 days,14 days,366,Unknown,Long Beach California Animal Shelter
DOG,2015-02-26,WHITE,None,Female,2019-02-26,INJURED  SEVERE,STRAY,2019-03-27,ADOPTION,1461 days,1490 days,29 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2015-09-16,BLACK,None,Spayed,2023-02-26,NORMAL,STRAY,2023-03-16,ADOPTION,2720 days,2738 days,18 days,2720,Unknown,Long Beach California Animal Shelter
REPTILE,2009-07-18,ORANGE,BROWN,Female,2017-07-18,NORMAL,STRAY,2017-07-26,RESCUE,2922 days,2930 days,8 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2017-06-28,BLACK,WHITE,Neutered,2022-06-28,NORMAL,STRAY,2022-06-29,RETURN TO OWNER,1826 days,1827 days,1 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2020-05-11,WHITE,CREAM,Male,2023-05-11,I/I REPORT,STRAY,2023-05-13,RETURN TO OWNER,1095 days,1097 days,2 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2014-01-22,WHITE,None,Male,2018-01-22,BEHAVIOR  MODERATE,STRAY,2018-03-09,RETURN TO OWNER,1461 days,1507 days,46 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2022-03-29,BLACK,None,Male,2024-03-29,INJURED  MILD,STRAY,2024-03-29,EUTHANASIA,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
DOG,2023-08-31,WHITE,None,Male,2023-10-18,UNDER AGE/WEIGHT,STRAY,2023-10-19,RESCUE,48 days,49 days,1 days,48,Unknown,Long Beach California Animal Shelter
CAT,2021-09-15,BLACK,None,Neutered,2024-09-15,INJURED  MILD,STRAY,2024-09-20,COMMUNITY CAT,1096 days,1101 days,5 days,1096,Unknown,Long Beach California Animal Shelter
DOG,2023-03-09,WHITE,TAN,Spayed,2024-03-07,NORMAL,STRAY,2024-04-07,ADOPTION,364 days,395 days,31 days,364,Unknown,Long Beach California Animal Shelter
BIRD,2019-05-29,BLACK,None,Unknown,2020-05-29,INJURED  MODERATE,WILDLIFE,2020-05-29,TRANSFER,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
DOG,2014-11-16,WHITE,TAN,Female,2017-11-16,BEHAVIOR  MILD,STRAY,2017-11-22,TRANSFER,1096 days,1102 days,6 days,1096,Unknown,Long Beach California Animal Shelter
RABBIT,2017-01-04,GRAY,None,Neutered,2018-01-04,NORMAL,OWNER SURRENDER,2018-01-31,ADOPTION,365 days,392 days,27 days,365,Unknown,Long Beach California Animal Shelter
DOG,2008-09-25,WHITE,GRAY,Neutered,2018-09-25,AGED,STRAY,2018-09-26,RETURN TO OWNER,3652 days,3653 days,1 days,3652,Unknown,Long Beach California Animal Shelter
BIRD,2023-04-07,WHITE,None,Unknown,2024-04-07,INJURED  SEVERE,WILDLIFE,2024-04-07,TRANSFER,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
BIRD,2022-08-26,WHITE,GRAY,Unknown,2023-08-26,INJURED  MODERATE,WILDLIFE,2023-08-27,RESCUE,365 days,366 days,1 days,365,Unknown,Long Beach California Animal Shelter
OTHER,2013-04-27,BROWN,None,Male,2018-04-27,ILL SEVERE,WILDLIFE,2018-04-27,DIED,1826 days,1826 days,0 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2010-09-05,GRAY,WHITE,Male,2019-09-05,NORMAL,STRAY,2019-09-18,RESCUE,3287 days,3300 days,13 days,3287,Unknown,Long Beach California Animal Shelter
CAT,2019-09-02,GRAY TABBY,None,Female,2019-10-02,UNDER AGE/WEIGHT,STRAY,2019-10-06,ADOPTION,30 days,34 days,4 days,30,Unknown,Long Beach California Animal Shelter
CAT,2017-04-16,BLACK,WHITE,Unknown,2017-08-16,FERAL,STRAY,2017-08-28,EUTHANASIA,122 days,134 days,12 days,122,Unknown,Long Beach California Animal Shelter
DOG,2019-09-17,WHITE,TAN,Spayed,2022-09-17,NORMAL,STRAY,2022-09-23,ADOPTION,1096 days,1102 days,6 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2019-03-22,GRAY,WHITE,Neutered,2019-06-22,NORMAL,STRAY,2020-01-11,ADOPTION,92 days,295 days,203 days,92,Unknown,Long Beach California Animal Shelter
CAT,2023-05-12,GRAY,None,Male,2023-06-23,ILL MILD,STRAY,2023-07-22,RESCUE,42 days,71 days,29 days,42,Unknown,Long Beach California Animal Shelter
CAT,2022-06-23,GRAY,WHITE,Female,2023-06-23,ILL MILD,STRAY,2023-06-27,EUTHANASIA,365 days,369 days,4 days,365,Unknown,Long Beach California Animal Shelter
DOG,2019-01-27,BROWN,BLACK,Spayed,2022-01-27,NORMAL,STRAY,2022-02-06,ADOPTION,1096 days,1106 days,10 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2018-06-18,BLACK,None,Unknown,2018-08-17,ILL MILD,STRAY,2018-08-22,DIED,60 days,65 days,5 days,60,Unknown,Long Beach California Animal Shelter
BIRD,2016-04-20,BROWN,WHITE,Unknown,2017-04-20,INJURED  SEVERE,WILDLIFE,2017-04-20,TRANSFER,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
CAT,2017-05-16,TORTIE,None,Female,2017-06-16,UNDER AGE/WEIGHT,STRAY,2017-06-28,RESCUE,31 days,43 days,12 days,31,Unknown,Long Beach California Animal Shelter
CAT,2017-05-16,BLACK,None,Male,2017-06-16,UNDER AGE/WEIGHT,STRAY,2017-06-28,RESCUE,31 days,43 days,12 days,31,Unknown,Long Beach California Animal Shelter
DOG,2013-08-28,GRAY,WHITE,Male,2017-08-28,NORMAL,STRAY,2017-09-03,TRANSFER,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2016-03-21,TAN,None,Neutered,2019-11-17,NORMAL,RETURN,2019-12-04,RESCUE,1336 days,1353 days,17 days,1336,Unknown,Long Beach California Animal Shelter
CAT,2010-12-05,SNOWSHOE,None,Unknown,2020-12-05,ILL SEVERE,STRAY,2020-12-06,EUTHANASIA,3653 days,3654 days,1 days,3653,Unknown,Long Beach California Animal Shelter
DOG,2015-05-06,BROWN,BLACK,Female,2022-05-06,NORMAL,WELFARE SEIZED,2022-05-08,RETURN TO OWNER,2557 days,2559 days,2 days,2557,Unknown,Long Beach California Animal Shelter
DOG,2023-07-17,BROWN,TAN,Spayed,2024-01-17,NORMAL,STRAY,2024-02-14,ADOPTION,184 days,212 days,28 days,184,Unknown,Long Beach California Animal Shelter
DOG,2023-07-17,BROWN,TAN,Spayed,2024-01-17,NORMAL,STRAY,2024-02-29,ADOPTION,184 days,227 days,43 days,184,Unknown,Long Beach California Animal Shelter
DOG,2016-01-19,TRICOLOR,None,Male,2019-01-19,NORMAL,STRAY,2019-01-25,TRANSFER,1096 days,1102 days,6 days,1096,Unknown,Long Beach California Animal Shelter
BIRD,2017-04-09,BROWN,None,Unknown,2017-08-09,UNDER AGE/WEIGHT,WILDLIFE,2017-08-09,DIED,122 days,122 days,0 days,122,Unknown,Long Beach California Animal Shelter
DOG,2010-04-25,WHITE,BROWN,Neutered,2017-04-25,INJURED  SEVERE,CONFISCATE,2017-05-20,TRANSFER,2557 days,2582 days,25 days,2557,Unknown,Long Beach California Animal Shelter
DOG,2022-12-06,WHITE,GRAY,Spayed,2023-12-06,NORMAL,STRAY,2024-01-03,ADOPTION,365 days,393 days,28 days,365,Unknown,Long Beach California Animal Shelter
